scientific_name_id,scientific_name,korean_name,family_scientific_name,family_korean_name,genus_scientific_name,genus_korean_name,species_name,subspecies_name,resource_type
6525,Quercus dentata Thunb.,가나무,Fagaceae,참나무과,Quercus,참나무속,dentata,,자생종
9349,Ligustrum japonicum var. rotundifolium Blume,가녀정,Oleaceae,물푸레나무과,Ligustrum,쥐똥나무속,japonicum,rotundifolium,자생종
12211,Potamogeton cristatus Regel & Maack,가는가래,Potamogetonaceae,가래과,Potamogeton,가래속,cristatus,,자생종
2881,Saussurea pulchella (Fisch.) Fisch.,가는각시취,Compositae,국화과,Saussurea,취나물속,pulchella,,자생종
21950,Vicia angustifolia var. minor (Bertol.) Ohwi,가는갈퀴,Leguminosae,콩과,Vicia,나비나물속,angustifolia,minor,자생종
12338,Vicia angustifolia L. ex Reichard,가는갈퀴나물,Leguminosae,콩과,Vicia,나비나물속,angustifolia,,자생종
24025,Vicia anguste-pinnata Nakai,가는갈퀴나물,Leguminosae,콩과,Vicia,나비나물속,anguste-pinnata,,자생종
12338,Vicia angustifolia L. ex Reichard,가는갈키나물,Leguminosae,콩과,Vicia,나비나물속,angustifolia,,자생종
3385,Polystichum braunii (Spenn.) Fee,가는개관중,Dryopteridaceae,면마과,Polystichum,나도히초미속,braunii,,자생종
14216,Agropyron ciliare f. hackelianum (Ohwi) Y.N.Lee,가는개밀,Gramineae,벼과,Agropyron,개밀속,ciliare,hackelianum,자생종
853,Betula chinensis Maxim.,가는개박달나무,Betulaceae,자작나무과,Betula,자작나무속,chinensis,,자생종
8265,Sium suave Walter,가는개발나물,Umbelliferae,산형과,Sium,개발나물속,suave,,자생종
10223,Pseudostellaria sylvatica (Maxim.) Pax,가는개별꽃,Caryophyllaceae,석죽과,Pseudostellaria,개별꽃속,sylvatica,,자생종
5816,Eriocaulon tenuissimum Nakai,가는개수염,Eriocaulaceae,곡정초과,Eriocaulon,곡정초속,tenuissimum,,자생종
1447,Persicaria trigonocarpa (Makino) Nakai,가는개여뀌,Polygonaceae,마디풀과,Persicaria,여뀌속,trigonocarpa,,자생종
5606,Scleria pergracilis Kunth,가는개율무,Cyperaceae,사초과,Scleria,너도고랭이속,pergracilis,,자생종
15464,Atriplex gmelinii C.A.Mey.,가는갯는장이,Chenopodiaceae,명아주과,Atriplex,갯능쟁이속,gmelinii,,자생종
15464,Atriplex gmelinii C.A.Mey.,가는갯는쟁이,Chenopodiaceae,명아주과,Atriplex,갯능쟁이속,gmelinii,,자생종
15464,Atriplex gmelinii C.A.Mey.,가는갯능쟁이,Chenopodiaceae,명아주과,Atriplex,갯능쟁이속,gmelinii,,자생종
11992,Zostera caespitosa Miki,가는거머리말,Zosteraceae,거머리말과,Zostera,거머리말속,caespitosa,,자생종
2974,Osmunda japonica Thunb.,가는고비,Osmundaceae,고비과,Osmunda,고비속,japonica,,자생종
5794,Eriocaulon decemflorum Maxim.,가는곡정초,Eriocaulaceae,곡정초과,Eriocaulon,곡정초속,decemflorum,,자생종
5816,Eriocaulon tenuissimum Nakai,가는곡정초,Eriocaulaceae,곡정초과,Eriocaulon,곡정초속,tenuissimum,,자생종
18309,Scutellaria regeliana Nakai,가는골무꽃,Labiatae,꿀풀과,Scutellaria,골무꽃속,regeliana,,자생종
1785,Corydalis raddeana Regel,가는괴불주머니,Fumariaceae,현호색과,Corydalis,현호색속,raddeana,,자생종
24151,Setaria pallidefusca (Schumach.) Stapf & C.E.Hubb.,가는금강아지풀,Gramineae,벼과,Setaria,강아지풀속,pallidefusca,,자생종
9831,Inula britannica var. linariifolia (Turcz.) Regel,가는금불초,Compositae,국화과,Inula,금불초속,britannica,linariifolia,자생종
8235,Peucedanum elegans Kom.,가는기름나물,Umbelliferae,산형과,Peucedanum,기름나물속,elegans,,자생종
18443,Sedum aizoon L.,가는기린초,Crassulaceae,돌나물과,Sedum,돌나물속,aizoon,,자생종
8508,Dontostemon dentatus (Bunge) Ledeb.,가는꽃장대,Cruciferae,십자화과,Dontostemon,가는장대속,dentatus,,자생종
14672,Poa matsumurae Hack.,가는꾸렘이풀,Gramineae,벼과,Poa,포아풀속,matsumurae,,자생종
18443,Sedum aizoon L.,가는꿩의비름,Crassulaceae,돌나물과,Sedum,돌나물속,aizoon,,자생종
14763,Stipa sibirica (L.) Lam.,가는나래새,Gramineae,벼과,Stipa,나래새속,sibirica,,자생종
15545,Suaeda heteroptera Kitag.,가는나문재,Chenopodiaceae,명아주과,Suaeda,나문재속,heteroptera,,자생종
15545,Suaeda heteroptera Kitag.,가는나문재나물,Chenopodiaceae,명아주과,Suaeda,나문재속,heteroptera,,자생종
18085,Galium trifidum L.,가는네잎갈퀴,Rubiaceae,꼭두서니과,Galium,갈퀴덩굴속,trifidum,,자생종
18085,Galium trifidum L.,가는네잎갈키,Rubiaceae,꼭두서니과,Galium,갈퀴덩굴속,trifidum,,자생종
18085,Galium trifidum L.,가는넷잎갈키덩굴,Rubiaceae,꼭두서니과,Galium,갈퀴덩굴속,trifidum,,자생종
15503,Chenopodium album var. stenophyllum Makino,가는능쟁이,Chenopodiaceae,명아주과,Chenopodium,명아주속,album,stenophyllum,자생종
15502,Chenopodium virgatum Thunb.,가는능쟁이,Chenopodiaceae,명아주과,Chenopodium,명아주속,virgatum,,자생종
9055,Silene jenisseensis Willd.,가는다리장구채,Caryophyllaceae,석죽과,Silene,끈끈이장구채속(장구채속),jenisseensis,,자생종
5828,Commelina communis var. angustifolia Nakai,가는닭의밑씻개,Commelinaceae,닭의장풀과,Commelina,닭의장풀속,communis,angustifolia,자생종
9090,Gypsophila pacifica Kom.,가는대나물,Caryophyllaceae,석죽과,Gypsophila,대나물속,pacifica,,자생종
10075,Bidens parviflora Willd.,가는도깨비바눌,Compositae,국화과,Bidens,도깨비바늘속,parviflora,,자생종
10075,Bidens parviflora Willd.,가는도깨비바늘까치발,Compositae,국화과,Bidens,도깨비바늘속,parviflora,,자생종
10075,Bidens parviflora Willd.,가는독개비바눌,Compositae,국화과,Bidens,도깨비바늘속,parviflora,,자생종
18379,Rhodiola angusta Nakai,가는돌꽃,Crassulaceae,돌나물과,Rhodiola,돌꽃속,angusta,,자생종
1697,Aconitum villosum Rchb.,가는돌쩌귀,Ranunculaceae,미나리아재비과,Aconitum,투구꽃속,villosum,,자생종
1677,Aconitum macrorhynchum Turcz.,가는돌쩌귀,Ranunculaceae,미나리아재비과,Aconitum,투구꽃속,macrorhynchum,,자생종
1697,Aconitum villosum Rchb.,가는돌쩌귀풀,Ranunculaceae,미나리아재비과,Aconitum,투구꽃속,villosum,,자생종
1697,Aconitum villosum Rchb.,가는돌쩌기,Ranunculaceae,미나리아재비과,Aconitum,투구꽃속,villosum,,자생종
9025,Lychnis kiusiana Makino,가는동자꽃,Caryophyllaceae,석죽과,Lychnis,동자꽃속,kiusiana,,자생종
12350,Vicia tenuifolia Roth,가는등갈퀴,Leguminosae,콩과,Vicia,나비나물속,tenuifolia,,자생종
12350,Vicia tenuifolia Roth,가는등갈키,Leguminosae,콩과,Vicia,나비나물속,tenuifolia,,자생종
13797,Rotala pusilla Tul.,가는마디꽃,Lythraceae,부처꽃과,Rotala,마디꽃속,pusilla,,자생종
